CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL;PÁGINA
BC1415;Introdução à Inferência Estatística;3;1;4;367
NH1110;Introdução à Lógica;3;0;4;368
EN2305;Introdução a Materiais Biocompatíveis;2;0;5;368
BC1414;Introdução à Modelagem e Processos Estocásticos;3;1;4;369
BC1008;Introdução à Neurociência;4;0;5;370
BC1004;Introdução à Neurociência Computacional;4;0;4;370
BC0406;Introdução à Probabilidade e à Estatística;3;0;4;371
NH3204;Introdução a Processos Industriais Biotecnológicos;2;0;5;371
MC8106;Introdução à Psicolinguística;4;0;4;372
NH3906;Introdução à Química Verde e Química Sustentável;4;0;4;373
EN4010;Introdução à Sociologia da Ciência e das Técnicas;2;0;4;374
NH3203;Introdução à Tecnologia do Petróleo;4;0;4;375
BC1413;Introdução à Teoria dos Jogos;3;0;3;375
CS2116;Introdução ao Direito Administrativo;4;0;4;376
BH1125;Introdução ao Direito Constitucional;4;0;4;377
BH1228;Introdução ao Estudo do Direito;4;0;4;378
EN2717;Introdução aos Processos de Fabricação;3;1;4;379
MC2307;Introdução aos Processos Pontuais;3;1;4;379
EN2215;Introdução aos Sistemas de Propulsão;3;1;4;380
MC2107;Introdução aos Sistemas Dinâmicos;4;0;4;381
EN2406;Introdução aos Sistemas Elétricos de Potência;3;1;5;382
BC1710;Introdução às Engenharias;2;0;4;382
BC0405;Introdução às Equações Diferenciais Ordinárias;4;0;4;383
BH1100;Introdução às Políticas Públicas;4;0;4;384
EN3201;Introdução às Vibrações Não Lineares;4;0;4;384
EN3526;Jogos de Empresas;2;2;4;385
EN3617;Jogos Digitais: Aspectos Técnicos e Aplicações;2;2;4;386
EN3318;Laboratório de Bioinformática;2;4;5;386
MC7113;Laboratório de Engenharia de Software;2;4;4;387
BC1312;Laboratório de Física Básica I;2;3;5;388
BC1314;Laboratório de Física Básica II;2;3;5;389
BC1311;Laboratório de Física Médica;2;3;2;390
NH2704;Laboratório de Física Moderna;2;3;5;391
EN2207;Laboratório de Guiagem, Navegação e Controle;2;2;4;391
EN3437;Laboratório de Instrumentação Nuclear e Radioproteção;2;2;6;392
NH2230;Laboratório de Propriedades Físicas de Materiais;2;2;4;392
EN4403;Laboratório de Reatores Nucleares;2;2;6;393
MC6002;Laboratório de Redes;2;4;4;394
MC7301;Laboratório de Sistemas Operacionais;2;4;4;394
NH2039;Lasers e Óptica Moderna;3;1;4;395
EN2312;Legislação Relacionada à Saúde;3;0;5;396
BC1607;LIBRAS;2;0;2;396
BC1310;Ligações Químicas;4;0;6;397
MC3106;Linguagens Formais e Autômata;3;1;4;398
BC1426;Lógica Básica;4;0;4;399
MC5002;Lógicas Não Clássicas;4;0;4;400
EN3531;Macroeconomia;2;0;3;400
BH1132;Macroeconomia I;4;0;4;401
BH1134;Macroeconomia II;3;0;4;401
BH1135;Macroeconomia III;4;0;4;402
EN3502;Manufatura Integrada por Computador;2;4;6;403
EN2216;Máquinas de Fluxo;3;1;4;403
EN2711;Máquinas Elétricas;3;2;4;404
BC1437;Matemática Discreta;4;0;4;405
EN2813;Materiais Cerâmicos;3;1;4;405
EN2814;Materiais Compósitos;3;1;4;406
BC1105;Materiais e Suas Propriedades;3;1;5;407
EN2811;Materiais Metálicos;3;1;4;408
EN3828;Materiais Nanoestruturados;4;0;4;408
EN4401;Materiais Nucleares e Danos da Radiação;2;0;4;409
EN3825;Materiais para Energia e Ambiente;4;0;4;410
EN3826;Materiais para Tecnologia da Informação;4;0;4;411
EN2812;Materiais Poliméricos;3;1;4;412
EN3819;Matérias Primas Cerâmicas;4;0;4;413
NH2803;Mecânica Analítica I;4;0;4;413
NH2903;Mecânica Analítica II;4;0;4;414
NH2703;Mecânica Clássica;4;0;4;415
BC1103;Mecânica dos Fluidos I;3;1;5;416
EN2414;Mecânica dos Fluidos II;3;1;5;416
EN2412;Mecânica dos Fluidos II;3;1;5;417
EN2217;Mecânica dos Fluidos Viscosos;3;1;4;417
BC1104;Mecânica dos Sólidos I;3;1;5;418
NH2902;Mecânica Estatística;6;0;6;419
NH4297;Mecânica Geral;4;0;4;419
NH2805;Mecânica Quântica;6;0;10;420
NH2901;Mecânica Quântica Avançada;4;0;4;421
NH3701;Mecanismos de Reações Orgânicas;4;0;6;422
CS2115;Meio Ambiente e Políticas Públicas;4;0;4;422
EN3821;Metalurgia Física;4;0;4;423
BC1623;Metateoremas da Lógica Clássica;4;0;4;424
BH1403;Metodologia;4;0;3;425
BH1229;Metodologia e Pesquisa em RI;4;0;4;426
MC2205;Métodos Assintóticos;3;1;4;427
EN4404;Métodos Computacionais Aplicados a Sistemas Elétricos;1;2;2;427
EN3216;Métodos Computacionais para Análise Estrutural;3;1;4;428
EN3810;Métodos Computacionais para o Estudo de Biomoléculas;3;1;4;428
NH2030;Métodos da Mecânica Quântica;4;0;4;429
NH3103;Métodos de Análise em Química Orgânica;4;0;4;430
NH2035;Métodos de Formação de Imagem e de Inspeção Nuclear;2;2;5;430
EN4402;Métodos de Imageamento e de Inspeção Nuclear;2;2;6;431
MC4001;Métodos de Otimização;4;0;4;432
BH1349;Métodos de Planejamento;3;1;4;432
BH1350;Métodos e Técnicas de Análise de Informação para o Planejamento;3;1;4;433
BC1707;Métodos Experimentais em Engenharia;2;3;2;434
BC1412;Métodos Numéricos em EDO's;2;2;4;435
BH1227;Métodos Quantitativos para Ciências Sociais;2;2;4;435
MC2203;Métodos Variacionais;4;0;4;436
EN3512;Metrologia;2;2;4;437
EN2105;Microbiologia Ambiental;3;1;4;437
BC1606;Microbiologia I;4;2;5;438
EN3532;Microeconomia;2;0;3;439
BH1130;Microeconomia I;4;0;4;439
BH1133;Microeconomia II;4;0;3;440
NH2332;Microscopia Eletrônica;2;2;4;441
MC5003;Mineração de Dados;3;1;4;442
EN3536;Mineração de Dados Aplicada à Engenharia de Gestão;3;1;5;442
NH3802;Mineralogia;4;0;6;443
BH1351;Mobilização Produtiva dos Territórios e Desenvolvimento Local;4;0;4;444
BC1409;Modelagem de Sistemas Biológicos;3;1;4;445
EN2310;Modelagem, Simulação e Controle Aplicados a Sistemas Biológicos;4;0;4;445
EN3514;Modelos de Comunicação nas Organizações;2;0;4;446
MC2109;Módulos;4;0;4;447
NH4906;Morfofisiologia Evolutiva;4;0;4;447
EN3408;Motores de Combustão Interna;2;1;4;448
EN3802;Nanociência e Nanotecnologia;2;0;2;449
EN3829;Nanocompósitos;4;0;4;449
BC1613;Nascimento e Desenvolvimento da Ciência Moderna;4;0;4;450
BC0504;Natureza da Informação;3;0;4;451
EN3210;Navegação Inercial e GPS;3;1;4;452
MC8104;Neuroanatomia;2;1;3;453
MC8200;Neurobiologia do Comportamento;2;2;2;453
MC8101;Neurobiologia Molecular e Celular;4;2;2;454
EN3315;Neuromecânica do Movimento Humano;3;2;4;454
BC1306;Noções de Astronomia e Cosmologia;4;0;4;455
EN3323;Normas de Segurança e Desempenho Aplicadas a Equipamentos Médicos e Hospitalares;3;0;4;456
EN3449;Normas de Segurança para Sistemas Energéticos;2;0;4;457
EN4110;Oceanografia Costeira para Engenharia Ambiental e Urbana;3;0;4;457
BH1352;Oficina de Planejamento de Áreas Periurbanas, Interioranas e Rurais;2;4;4;458
BH1353;Oficina de Planejamento e Governança Metropolitana;2;4;4;458
BH1354;Oficina de Planejamento Macro e Meso Regional;2;4;4;459
BH1355;Oficina de Planejamento Urbano;2;4;4;459
EN2613;Ondas Eletromagnéticas Aplicadas;3;1;4;460
EN2409;Operação de Sistemas Elétricos de Potência;3;1;4;460
EN3421;Operações e Equipamentos Industriais I;3;1;4;461
EN3422;Operações e Equipamentos Industriais II;3;1;4;461
NH3001;Operações Unitárias I;4;0;4;462
NH3106;Operações Unitárias II;4;0;4;462
BC1219;Óptica;3;1;4;463
EN3719;Óptica Integrada;3;1;4;464
EN3717;Optoeletrônica;3;1;4;465
MC7105;Organização de Projeto;4;0;4;465
EN2518;Organização do Trabalho;3;1;5;466
BC0304;Origem da Vida e Diversidade dos Seres Vivos;3;0;4;467
BC1408;Otimização;3;2;4;468
EN3208;Otimização em Projetos de Estruturas;3;0;4;468
EN4103;Paisagismo e Gestão de Unidades de Conservação;3;1;2;469
MC3308;Paradigmas de Programação;2;2;4;470
NH1012;Parasitologia;3;0;3;470
MC8001;Patologias do Sistema Nervoso Central;4;0;4;471
BH0202;Pensamento Crítico;4;0;4;472
BH0103;Pensamento Econômico;4;0;4;472
NH5119;Pensamento Hegeliano e Seus Desdobramentos Contemporâneos;4;0;4;473
NH5118;Pensamento Nietzscheano e seus desdobramentos contemporâneos;4;0;4;475
MC2309;Percolação;4;0;4;476
MC8300;Pesquisa e Comunicação Científica;2;0;2;476
NH5132;Pesquisa em Filosofia;4;0;4;477
EN2523;Pesquisa Operacional;4;0;5;477
EN3529;Pesquisa Operacional Aplicada;4;0;5;478
EN3215;Placas e Cascas;3;0;4;478
EN4410;Planejamento da Operação de Sistemas Hidrotérmicos de Potência;3;0;5;479
EN3511;Planejamento de Experimentos;2;2;2;480
EN2509;Planejamento e Controle de Produção;4;0;5;480
EN3520;Planejamento e Controle de Projetos;2;2;4;481
BH1356;Planejamento e Política Ambiental;4;0;4;481
BH1357;Planejamento e Política Regional;4;0;4;482
BH1358;Planejamento e Política Rural;4;0;4;483
EN2124;Planejamento Urbano e Metropolitano;3;1;4;484
BH1337;Política Internacional dos EUA e da União Europeia;4;0;4;485
BH1359;Política Metropolitana;4;0;4;486
BH1360;Política Urbana;4;0;4;487
BC1624;Políticas Educacionais;3;0;3;488
BC1612;Políticas Públicas em Ciência e Tecnologia;3;0;3;489
CS2119;Políticas Públicas Sul-Americanas;4;0;4;490
CS2104;Políticas Sociais;4;0;4;487
EN2115;Poluição Atmosférica;3;0;4;491
NH5122;Pragmatismo;4;0;4;492
BH1222;Prática de Ensino de Filosofia I;3;0;4;493
BH1223;Prática de Ensino de Filosofia II;3;0;4;493
BH1224;Prática de Ensino de Filosofia III;3;0;4;494
BH1225;Prática de Ensino de Filosofia IV;3;0;4;495
BH1226;Prática de Ensino de Filosofia V;3;0;4;496
NH4304;Práticas de Ciências no Ensino Fundamental;4;0;4;496
BC1305;Práticas de Ecologia;2;4;4;497
NH4101;Práticas de Ensino de Biologia I;3;0;4;498
NH4201;Práticas de Ensino de Biologia II;3;0;4;498
NH4301;Práticas de Ensino de Biologia III;3;0;4;499
BC1625;Práticas de Ensino de Ciências e Matemática no Ensino Fundamental;4;0;4;500
NH4102;Práticas de Ensino de Física I;3;0;4;501
NH4202;Práticas de Ensino de Física II;3;0;4;502
NH4302;Práticas de Ensino de Física III;3;0;4;503
MC8105;Práticas de Ensino de Matemática I;3;0;4;504
MC8206;Práticas de Ensino de Matemática II;3;0;4;505
MC8307;Práticas de Ensino de Matemática III;3;0;4;507
MC8308;Práticas de Ensino de Matemática no Ensino Fundamental;4;0;4;508
NH4103;Práticas de Ensino de Química I;3;0;4;511
NH4203;Práticas de Ensino de Química II;3;0;4;511
NH4303;Práticas de Ensino de Química III;3;0;4;512
NH3107;Práticas de Escrita em Inglês para Química e Ciências Afins;2;0;4;512
NH3104;Práticas de Química Verde;2;4;4;513
EN2608;Princípios de Comunicação;3;1;4;514
EN2311;Princípios de Imagens Médicas;2;2;4;514
NH4399;Princípios de Mecânica Quântica;4;0;4;515
BC1436;Princípios de Simulação Matemática;2;2;4;516
BC1330;Princípios de Termodinâmica;4;0;6;516
EN2308;Princípios e Aplicações de Biomecânica;2;2;4;517
EN3811;Princípios Moleculares em Biomateriais;4;0;4;518
MC1202;Probabilidade;4;0;4;519
BH1220;Problemas Metafísicos: Perspectivas Contemporâneas;4;0;4;519
BH1219;Problemas Metafísicos: Perspectivas Modernas;4;0;4;520
BH0203;Problemas Metodológicos das Ciências Sociais;4;0;4;521
EN3718;Processadores Digitais em Controle e Automação;3;1;4;522
BC0505;Processamento da Informação;3;2;5;523
EN3818;Processamento de Cerâmicas;3;1;4;523
EN3312;Processamento de Imagens Médicas;2;2;5;524
EN3605;Processamento de Informação em Línguas Naturais;3;1;4;525
MC7106;Processamento de Linguagem Natural;4;0;4;526
MC8103;Processamento de Sinais Neurais;4;0;4;527
EN3612;Processamento de Vídeo;3;1;4;528
BC1505;Processamento Digital de Imagens;3;1;4;528
EN2610;Processamento Digital de Sinais;4;0;4;529
EN3304;Processamento e Análise de Falhas em Biomateriais;3;2;4;530
EN2309;Processamento e Análise de Sinais Biomédicos;2;2;4;531
EN3824;Processamento e Conformação de Metais;3;1;4;532
EN3537;Processos Contínuos de Produção;2;2;6;532
EN3509;Processos de Produção na Indústria da Construção Civil;2;2;6;533
EN3508;Processos Discretos de Produção;2;2;6;533
MC2301;Processos Estocásticos;4;0;4;534
BC1440;Processos Industriais Orgânicos e Inorgânicos;4;0;4;535
EN3417;Processos Termoquímicos de Conversão Energética;2;0;4;535
EN3616;Programação de Dispositivos Móveis;2;2;4;536
BC1432;Programação Matemática;3;1;4;536
BC1501;Programação Orientada a Objetos;2;2;4;537
MC0037;Programação para Web;2;2;4;537
MC4002;Programação Paralela;4;0;4;538
MC7007;Progressos e Métodos em Neurociência;3;1;4;538
EN3603;Projeto de Alta Frequência;3;1;4;539
EN2618;Projeto de Filtros Digitais;2;2;4;540
MC3104;Projeto de Graduação em Computação I;8;0;8;540
MC7108;Projeto de Graduação em Computação II;8;0;8;541
MC7109;Projeto de Graduação em Computação III;8;0;8;541
EN3715;Projeto de Microdispositivos para Instrumentação;3;1;4;542
MC6003;Projeto de Redes;4;0;4;542
EN3720;Projeto de Sistemas Digitais com VHDL e Implementação em FPGAs;3;1;4;543
BC0002;Projeto Dirigido;2;2;10;543
EN3320;Projeto e Desenvolvimento de Sistemas para Análise de Dados Médicos;3;2;4;544
MC7115;Projeto Interdisciplinar;2;4;4;545
EN3226;Projeto Térmico de Veículos Espaciais;4;0;4;545
EN3521;Projetos Industriais;2;2;6;546
EN2615;Propagação e Antenas;3;1;4;546
EN2513;Propriedade Intelectual;2;2;4;547
EN2817;Propriedades Elétricas, Magnéticas e Ópticas;3;1;4;547
NH2123;Propriedades Magnéticas e Eletrônicas;3;2;5;548
EN2816;Propriedades Mecânicas e Térmicas;3;1;4;549
EN3225;Propulsão Aeroespacial;3;1;4;550
EN3222;Propulsão Aeroespacial Não-Convencional;3;0;4;550
MC7006;Psicofarmacologia;4;0;4;551
BC1006;Psicologia Cognitiva;4;0;4;552
MC8100;Psicologia Experimental;4;2;4;552
EN3402;Qualidade da Energia Elétrica;3;2;4;553
EN2516;Qualidade em Sistemas;4;0;5;554
EN4116;Questões Ambientais Globais;2;0;4;554
NH4107;Questões Atuais no Ensino de Ciências;2;0;2;555
NH3812;Química Ambiental;2;0;4;555
BC1399;Química Analítica Clássica I;4;2;6;556
NH3599;Química Analítica Clássica II;4;2;6;557
NH3598;Química Analítica Instrumental;2;4;6;558
NH3904;Química de Coordenação;4;2;6;558
BC1302;Química dos Elementos;4;2;6;559
NH3005;Química dos Materiais;4;2;4;560
NH3002;Química Forense;4;2;6;560
EN3804;Química Inorgânica de Materiais;4;2;4;561
NH3902;Química Orgânica Aplicada;2;4;6;562
EN3803;Química Orgânica de Materiais e Biomateriais;4;2;4;562
NH3801;Química Orgânica Experimental;2;4;6;563
NH2222;Radiações Eletromagnéticas;4;0;4;564
BC1205;Reações Nucleares;3;0;5;565
EN3805;Reciclagem e Ambiente;4;0;4;565
BC1005;Recursos Hídricos;3;0;4;566
MC6001;Redes Convergentes;4;0;4;567
EN3608;Redes de Alta Velocidade;3;1;4;567
BC1513;Redes de Computadores;3;1;4;568
MC6006;Redes sem Fio;3;1;4;569
EN4408;Refino do Petróleo;4;0;4;570
EN3416;Refrigeração e Condicionamento de Ar;3;1;4;570
BH1338;Regime Internacional dos Direitos Humanos e a Estratégia Brasileira;4;0;4;571
BH1121;Regimes e Formas de Governo;2;2;4;572
BH1361;Regulação Urbanística e Ambiental;2;0;2;573
BH1102;Relações Internacionais e Globalização;4;0;4;574
EN2818;Reologia;2;0;3;574
EN3443;Resíduos Nucleares;3;0;3;575
EN2121;Resíduos Sólidos;3;0;3;576
EN3523;Riscos;2;2;2;576
EN3704;Robôs Móveis Autônomos;3;1;4;577
EN2126;Saúde Ambiental;2;0;3;578
BC1523;Segurança de Dados;3;1;4;578
EN3442;Segurança de Instalações Nucleares;3;0;4;579
EN3611;Segurança de Redes;3;1;4;580
MC6005;Segurança em Redes;2;2;4;581
BH1339;Segurança Internacional em Perspectiva Histórica e Desafios Contemporâneos;4;0;4;581
EN2819;Seleção de Materiais;4;0;4;582
NH1014;Seminários em Biologia I;1;0;2;583
NH1015;Seminários em Biologia II;1;0;2;583
EN3801;Seminários em Materiais Avançados;2;0;2;584
NH3105;Seminários em Química I;2;0;2;584
NH3205;Seminários em Química II;2;0;2;585
MC8402;Sensação e Percepção;4;0;4;586
EN2712;Sensores e Transdutores;3;1;4;586
EN4107;Sensoriamento Remoto;1;3;2;587
BC1407;Sequências e Séries;4;0;4;588
EN3706;Servo-Sistema para Robôs e Acionamento para Sistemas Mecatrônicos;3;1;4;588
EN3823;Siderurgia e Engenharia dos Aços;4;0;4;589
EN3525;Simulação de Modelos de Gestão;2;2;4;589
EN3615;Simulação de Sistemas de Comunicação;2;2;4;590
EN3207;Simulação de Vôo e Ambientes Virtuais;3;0;4;591
EN3816;Simulação e Processamento de Polímeros;3;1;4;592
EN2609;Sinais Aleatórios;4;0;4;592
EN3815;Síntese de Polímeros;3;1;4;593
BH1154;Sistema Financeiro Internacional: de Bretton Woods ao Non-Sistema;4;0;4;594
BH1340;Sistema ONU e os Desafios do Multilateralismo;4;0;4;595
BC1321;Sistemas Biológicos I;4;2;4;596
BC1322;Sistemas Biológicos II;4;2;4;597
BC1324;Sistemas Biológicos III;4;2;4;597
BC1325;Sistemas Biológicos IV;4;2;4;598
EN2716;Sistemas CAD/CAM;3;1;4;599
EN2117;Sistemas de Abastecimento de Águas;3;1;5;599
EN2704;Sistemas de Controle I;3;2;4;600
EN2710;Sistemas de Controle II;3;2;4;601
EN3708;Sistemas de Controle III;3;2;4;602
EN2118;Sistemas de Esgotos e Drenagem Urbana;3;1;5;603
EN2512;Sistemas de Fabricação;2;2;5;603
MC7114;Sistemas de Gerenciamento de Banco de Dados;2;2;4;604
BC1510;Sistemas de Informação;4;0;4;604
EN3602;Sistemas de Microondas;3;1;4;605
EN3403;Sistemas de Potência I;3;1;4;605
EN3404;Sistemas de Potência II;3;1;4;606
EN2120;Sistemas de Tratamento de Águas e Efluentes;3;1;4;607
MC3304;Sistemas Digitais;2;2;4;607
MC3105;Sistemas Distribuídos;3;1;4;608
EN2519;Sistemas Integrados de Gestão da Qualidade Ambiental, Segurança e Saúde;2;0;3;609
EN3619;Sistemas Inteligentes;3;1;4;609
EN2617;Sistemas Microprocessados;2;2;4;610
MC5001;Sistemas Multiagentes;3;1;4;611
MC7102;Sistemas Multimídia;2;2;4;611
BC1518;Sistemas Operacionais;3;1;4;612
EN2404;Sistemas Térmicos;3;2;4;613
NH1602;Sistemática e Biogeografia;2;2;4;613
BH1155;Sociedade Civil Organizada Global;4;0;4;614
EN3515;Sociologia das Organizações;2;0;3;615
BH1362;Sociologia dos Territórios;4;0;4;615
MC2202;Soluções Numéricas de EDP's;2;2;4;616
EN2407;Subestação e Equipamentos;2;0;4;617
EN3451;Supervisão e Confiabilidade de Sistemas Energéticos;3;1;4;618
EN3716;Supervisão e Monitoramento de Processos Energéticos;3;1;4;618
BH1341;Surgimento da China como Potência Mundial;4;0;4;619
NH3003;Técnicas Aplicadas a Processos Biotecnológicos;4;2;4;619
EN3501;Técnicas Avançadas de Gestão da Produção;4;0;5;620
EN2209;Técnicas de Análise Estrutural e Projeto;3;0;4;621
EN3317;Técnicas de Análise Estrutural e Projeto de Sistemas Dinâmicos;3;2;4;622
EN3313;Técnicas de Imageamento e Metrologia Óptica no Macro e Microdiagnóstico de Sistemas Biológicos;2;2;4;622
BH1406;Técnicas em Pesquisa;2;3;2;623
EN3220;Técnicas Experimentais em Propulsão;3;2;6;624
EN4102;Técnicas Experimentais para Caracterização de Ecossistemas Aquáticos;2;2;4;624
EN3311;Técnicas Nucleares Aplicadas às Ciências da Saúde;3;2;4;625
EN3407;Tecnologia da Combustão;1;2;4;626
EN2515;Tecnologia da Informação;2;0;3;626
EN3812;Tecnologia de Elastômeros;4;0;4;627
EN3420;Tecnologia de Produção de Biodiesel;4;0;4;627
EN3419;Tecnologia de Produção de Etanol;4;0;4;628
EN3607;Tecnologia de Redes Ópticas;3;0;4;629
NH2041;Tecnologia do Vácuo e Criogenia;1;2;5;629
EN3447;Tecnologias Emergentes de Conversão Energética;2;0;3;630
EN2619;Telefonia Fixa Moderna;3;1;4;630
CS2123;Temas Contemporâneos;2;2;4;631
NH5133;Temas da Filosofia Antiga;4;0;4;632
NH5136;Temas da Filosofia Contemporânea;4;0;4;633
NH5135;Temas da Filosofia Moderna;4;0;4;633
NH5123;Temas de Lógica;4;0;4;634
BH0201;Temas e Problemas em Filosofia;4;0;4;634
EN2508;Tempos, Métodos e Arranjos Físicos;2;2;5;635
MC8209;Tendências em Educação Matemática;4;0;4;636
BC1405;Teoria Aritmética dos Números;4;0;4;637
BC1402;Teoria Axiomática dos Conjuntos;4;0;4;637
NH2022;Teoria Clássica dos Campos;4;0;4;638
BC1611;Teoria da Ciência;4;0;4;639
EN3213;Teoria da Elasticidade;4;0;5;640
BC1010;Teoria da Evolução, Jogos Evolucionários e Dinâmica Populacional;3;1;5;641
EN2612;Teoria da Informação e Códigos;4;0;4;642
MC1104;Teoria da Medida e Integração;4;0;4;643
BC1622;Teoria da Recursão e Computabilidade;4;0;4;643
BC1220;Teoria da Relatividade;4;0;4;644
EN3527;Teoria das Decisões;2;0;3;645
MC1308;Teoria das Distribuições;4;0;4;645
MC2305;Teoria das Filas;3;1;4;646
BC1403;Teoria de Conjuntos Básica;4;0;4;647
EN3721;Teoria de Controle Ótimo;3;0;4;647
EN3609;Teoria de Filas e Análise de Desempenho;3;1;4;648
NH2040;Teoria de Grupos em Física;4;0;4;649
BC1013;Teoria do Conhecimento Científico;4;0;4;650
BH1217;Teoria do Conhecimento: A Epistemologia Contemporânea;4;0;4;650
BH1215;Teoria do Conhecimento: Empirismo versus Racionalismo;4;0;4;651
EN2102;Teoria do Planejamento Urbano e Ambiental;3;0;4;652
BC1429;Teoria dos Grafos;3;1;4;653
MC2206;Teoria dos Jogos;4;0;4;654
BH1156;Teorias Contemporâneas de RI;4;0;4;654
BH0206;Teorias da Justiça;4;0;4;655
BC1309;Termodinâmica Aplicada;3;1;5;656
EN2413;Termodinâmica Aplicada II;3;1;5;657
EN2815;Termodinâmica Estatística de Materiais;4;0;4;657
EN3439;Termo-Hidráulica de Reatores Nucleares I;4;0;6;658
EN3441;Termo-Hidráulica de Reatores Nucleares II;3;0;5;659
NH3602;Termoquímica;4;0;6;659
BH0301;Território e Sociedade;4;0;4;660
CS4124;Terrorismo, Violência e Segurança Pública;4;0;4;661
EN2809;Tópicos Computacionais em Materiais;2;2;5;662
NH1001;Tópicos de Metodologia da Ciência;3;0;4;663
NH2002;Tópicos em Física Contemporânea;3;0;4;663
NH2001;Tópicos em Física Experimental;2;3;4;663
EN4123;Tópicos Especiais em Engenharia Ambiental e Urbana;3;1;4;664
EN2806;Tópicos Experimentais em Materiais;2;4;4;665
MC1204;Topologia I;4;0;4;665
MC2106;Topologia II;4;0;4;666
NH1016;Toxicologia;4;2;4;666
CS1101;Trabalho de Conclusão de Curso de Políticas Públicas I;2;2;6;667
CS1102;Trabalho de Conclusão de Curso de Políticas Públicas II;2;2;6;668
NH1017;Trabalho de Conclusão de Curso em Biologia;2;0;2;668
NH2000;Trabalho de Conclusão de Curso em Física;2;0;2;669
MC2110;Trabalho de Conclusão de Curso em Matemática I;2;4;6;669
MC2111;Trabalho de Conclusão de Curso em Matemática II;2;4;6;669
NH3201;Trabalho de Conclusão de Curso em Química;2;0;2;670
CS1401;Trabalho de Conclusão de Curso I;2;2;12;670
CS1402;Trabalho de Conclusão de Curso I;2;2;12;671
EN1007;Trabalho de Graduação I;2;2;4;671
EN1008;Trabalho de Graduação II;2;2;4;671
EN1009;Trabalho de Graduação III;2;2;4;672
CS3301;Trajetória de Desenvolvimento de Países Exportadores de Petróleo;4;0;4;672
BH1342;Trajetória Internacional do Continente Africano e do Oriente Médio;4;0;4;673
BH1402;Trajetórias das Políticas de C.T.I. no Brasil;4;0;4;674
EN3227;Transferência de Calor Aplicada a Sistemas Aeroespaciais;3;0;4;675
EN2410;Transferência de Calor I;3;1;4;676
EN2411;Transferência de Calor II;3;1;4;676
EN3410;Transferência de Calor Industrial;2;2;4;677
EN2103;Transferência de Massa;3;1;5;678
BC0308;Transformações Bioquímicas;3;2;6;678
BC0306;Transformações nos Seres Vivos e Ambiente;3;0;4;679
BC0307;Transformações Químicas;3;2;6;680
NH3102;Transformações Químicas no Meio Ambiente;4;0;4;681
EN2607;Transformadas em Sinais e Sistemas Lineares;4;0;4;681
EN2123;Transportes e Mobilidade Urbana;3;0;4;682
EN3434;Tubulações Industriais;2;0;4;683
EN3412;Turbinas Térmicas de Potência;2;1;4;683
EN3606;TV Digital;3;1;4;684
BH1363;Uso do Solo Urbano;4;0;4;685
EN2417;Uso Final de Energia e Eficiência Energética;3;1;5;685
EN3415;Ventilação Industrial e Ar Comprimido;2;0;4;686
EN2212;Vibrações Lineares;4;0;4;687
BC1511;Vida Artificial na Computação;2;0;4;688
NH1018;Virologia;4;0;4;688
EN3702;Visão Computacional;3;1;4;689
MC5006;Web Semântica;4;0;4;689
